property_name,property_code,purpose_of_use,building_type,total_area_m2,latitude,longitude,inspection_zone
"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",091-040-0024-0003,H ala-aste ja yläaste,OtherAssemblyBuilding,7354.0,60.2757025,24.997706,central
2183 Latokartanon peruskoulu,091-036-0205-0001,H ala-aste ja yläaste,EducationalInstitution,5682.5,60.2323202,25.0360731,east
4022 Taivallahden peruskoulu,091-013-0451-0001,H ala-aste ja yläaste,EducationalInstitution,15185.5,60.1755025,24.9169351,west
4236 Itäkeskuksen peruskoulu,091-045-0069-0001,H ala-aste ja yläaste,EducationalInstitution,6108.0,60.214999,25.0742331,east
4303 Kontulan ala-asteen koulu,091-047-0002-0001,H ala-aste ja yläaste,EducationalInstitution,4487.0,60.2320023,25.0917916,east
4320 Crusellin peruskoulu,091-020-0006-0001,H ala-aste ja yläaste,EducationalInstitution,4144.0,60.1626251,24.9188183,west
4513 Aurinkolahden peruskoulu,091-054-0270-0001,H ala-aste ja yläaste,EducationalInstitution,6375.0,60.203656,25.1461088,east
4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,091-044-0033-0008,F lasten päiväkoti,Nursery,1212.0,60.1916384,25.0653331,east
