split,model,site,origin,target_month,horizon,actual_m3,forecast_m3,scale_m3,model_details,horizon_bucket,interval_q,lower_m3,upper_m3,covered,interval_width_m3,upper_for_decision_m3,excess_m3,standardized_excess,confirmation_weight,property_name,property_code,purpose_of_use,building_type,total_area_m2,latitude,longitude,inspection_zone,inspection_hours,candidate_id
monitoring,ets,4303 Kontulan ala-asteen koulu,2018-04,2018-05,1,185.0,111.70188001771855,35.73863636363637,"{'specification': 'ETS(A,Ad,A), deterministic grid', 'sse': 212287.00761462274, 'alpha': 0.1, 'beta': 0.01, 'gamma': 0.2, 'phi': 0.9}",h1,1.7684269214810409,48.50071333524271,174.9030467001944,False,126.4023333649517,174.9030467001944,73.29811998228145,2.0509489851957925,0.5,4303 Kontulan ala-asteen koulu,091-047-0002-0001,H ala-aste ja yläaste,EducationalInstitution,4487.0,60.2320023,25.0917916,east,2.06,4303 Kontulan ala-asteen koulu|2018-05
monitoring,ets,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",2018-05,2018-06,1,265.0,181.3318773444281,32.741573033707866,"{'specification': 'ETS(A,Ad,A), deterministic grid', 'sse': 233610.1778076422, 'alpha': 0.1, 'beta': 0.01, 'gamma': 0.4, 'phi': 0.9}",h1,1.7684269214810409,123.43079813998145,239.23295654887477,False,115.80215840889332,239.23295654887477,83.66812265557189,2.555409374174982,0.75,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo",091-040-0024-0003,H ala-aste ja yläaste,OtherAssemblyBuilding,7354.0,60.2757025,24.997706,central,2.42,"1507 Suutarilan ala-asteen koulu, Päiväkoti Seulanen, Suutarilan monitoimitalo|2018-06"
monitoring,ets,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,2018-06,2018-07,1,78.0,27.343509407851215,22.266666666666666,"{'specification': 'ETS(A,Ad,A), deterministic grid', 'sse': 72144.8117081525, 'alpha': 0.25, 'beta': 0.01, 'gamma': 0.2, 'phi': 0.9}",h1,1.7684269214810409,0.0,66.72048219282905,False,66.72048219282905,66.72048219282905,50.656490592148785,2.2749920924617717,0.5,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu,091-044-0033-0008,F lasten päiväkoti,Nursery,1212.0,60.1916384,25.0653331,east,1.65,4521 Tammisalon korttelitalo/Lpk Tammisalo/koulu|2018-07
